"Bonto" "Lavero" "Lomino" "Urtan"
"1" 1.585 2.153 1.827 2.052
"2" 1.979 1.941 2.041 1.997
"3" 1.756 1.925 2.243 1.696
"4" 2.115 2.018 1.84 2.19
"5" 1.985 2.291 1.828 1.849
"6" 2.298 1.801 2.151 2.025
"7" 1.946 1.731 1.968 2.08
"8" 1.998 1.701 1.888 1.876
"9" 1.967 1.737 1.739 1.911
"10" 2.208 2.016 1.913 2.123
"11" 1.818 1.704 1.776 1.92
"12" 1.88 1.912 1.793 2.195
"13" 1.94 2.063 1.797 1.813
"14" 1.93 1.875 1.86 1.911
"15" 1.825 1.746 1.731 2.024
"16" 1.765 1.809 1.596 2.177
"17" NA 2.071 1.804 1.963
"18" 1.916 1.891 2.119 2.398
"19" 1.91 2.018 1.835 1.975
"20" 1.958 1.971 1.751 2.047
"21" 2.007 2.007 1.856 1.879
"22" 1.998 1.747 1.898 1.812
"23" 1.912 1.885 1.944 1.851
"24" 1.864 1.803 1.756 1.922
"25" 1.756 1.882 1.804 2.013
"26" 1.823 1.975 2.1 2.008
"27" 1.834 1.658 1.889 1.985
"28" 1.859 1.903 1.871 NA
"29" 1.856 1.975 1.721 2.112
"30" 1.888 1.932 1.934 1.697
"31" 1.916 2.016 1.782 2.013
"32" 1.828 2.168 2.05 1.862
"33" 1.972 1.917 1.96 NA
"34" 1.396 2.152 1.922 1.76
"35" 2.001 1.877 NA 1.897
"36" 1.951 1.939 2.153 1.994
"37" 1.802 2.226 1.627 1.893
"38" 1.713 2.248 2.023 1.967
"39" 1.622 1.528 1.7 1.84
"40" 1.887 2.074 2.105 2.215
"41" 1.846 NA 1.962 1.972
"42" 1.654 1.911 1.971 2.326
"43" 1.868 1.852 1.901 2.202
"44" 1.986 1.869 NA 1.761
"45" 1.657 1.855 1.716 2.181
"46" 1.949 2.302 2.159 1.874
"47" NA 1.87 2.123 2.043
"48" 1.825 1.813 2.002 2.129
"49" 1.968 2.08 1.578 1.872
"50" 2.135 1.935 1.717 1.89
"51" 2.001 1.794 1.748 2.036
"52" 1.722 2.052 1.901 2.099
"53" 1.919 1.708 1.972 1.893
"54" 1.936 2.2 2.08 1.86
"55" 2.019 2.202 2.005 1.976
"56" 1.777 1.948 1.895 1.913
"57" 1.611 2.182 2.095 2.152
"58" 2.252 1.856 1.857 1.874
"59" 1.766 2.042 1.995 1.664
"60" 1.584 1.952 1.881 2.015
"61" 2.135 2.168 1.683 2.178
"62" 1.802 1.702 1.722 2.092
"63" 1.433 2.005 1.822 1.741
"64" 1.818 1.921 1.939 1.656
"65" 1.738 1.801 1.879 1.964
"66" 2.034 1.764 2.003 2.023
"67" 2.15 1.941 1.885 2.01
"68" 1.812 1.881 1.718 2.062
"69" 2.029 1.895 2.076 1.794
"70" 2.07 2.224 1.872 1.997
"71" 2.151 1.976 1.872 1.892
"72" 1.897 1.956 2.014 1.747
"73" 1.785 1.764 1.739 1.688
"74" 2.029 2.235 1.886 1.732
"75" 1.859 1.894 1.895 NA
"76" 1.777 1.99 2.158 1.842
"77" 1.987 1.796 2.019 1.971
"78" 2.126 1.89 2.004 1.849
"79" 1.981 1.982 2.187 1.835
"80" 1.706 2.009 1.811 1.872
"81" 1.893 1.822 1.909 2.09
"82" 1.795 1.983 1.937 1.722
"83" 1.852 1.536 2.176 2.004
"84" NA 2.265 1.905 1.82
"85" 1.663 2.085 1.895 2.235
"86" 1.786 1.788 NA 2.394
"87" 1.658 2.131 2.168 1.782
"88" 1.839 NA 2.078 1.919
"89" 1.602 1.913 2.085 2.018
"90" 1.933 2.176 1.836 2.121
"91" 1.912 1.976 1.953 1.914
"92" 1.74 1.949 2.081 1.97
"93" 2.059 2.012 1.923 2.289
"94" 1.995 1.674 1.873 1.853
"95" 1.771 2.024 1.86 2.161
"96" 1.929 1.984 NA 1.92
"97" 1.975 1.928 1.655 1.938
"98" 1.729 1.882 1.803 1.91
"99" 1.852 1.894 2.052 2.163
"100" 1.973 1.949 1.946 1.858
"101" 1.977 2.125 2.055 1.751
"102" 2.327 1.959 1.978 1.837
"103" 1.944 1.844 1.706 1.92
"104" 1.977 2.04 2.128 1.983
"105" 1.91 1.893 NA 1.999
"106" 1.949 1.778 1.834 1.769
"107" 2.187 2.091 2.053 2.017
"108" 1.779 1.918 2.138 2.075
"109" 1.751 1.953 1.935 NA
"110" 1.83 1.67 2.314 1.767
"111" 2.003 2.255 2.038 1.702
"112" 1.843 1.918 1.768 1.942
"113" 1.807 2.147 1.946 2.111
"114" 2.038 2.069 2.073 1.861
"115" 1.659 1.813 2.103 1.925
"116" 2.093 NA 1.859 2.26
"117" 1.847 1.736 1.803 2.008
"118" 2.005 1.984 2.135 1.873
"119" 1.885 1.985 2.123 1.968
"120" 1.94 1.63 1.889 NA
"121" 2.034 2.027 1.884 1.892
"122" 2.03 2.139 1.869 1.9
"123" NA 1.719 1.605 1.989
"124" 2.017 1.707 1.913 1.894
"125" 1.695 1.759 1.727 1.947
"126" 1.823 1.84 1.758 1.869
"127" 1.834 2.079 2.006 2.065
"128" 1.787 1.946 2.031 2.197
"129" 2.029 1.98 1.966 2.04
"130" 1.865 1.929 1.859 2.359
"131" 1.917 2.008 1.922 1.979
"132" 1.995 1.891 1.961 1.969
"133" 1.937 2.003 1.891 1.738
"134" 1.64 2.099 1.99 1.759
"135" 1.908 1.982 1.72 2.023
"136" 1.611 1.907 2.269 1.921
"137" 1.687 1.949 1.855 1.698
"138" 1.936 1.699 1.895 1.852
"139" 1.984 1.398 1.925 1.94
"140" 1.802 1.996 2.111 1.993
"141" 1.825 1.866 1.804 NA
"142" 1.795 1.894 2.263 1.938
"143" 2.056 2.088 1.989 1.881
"144" 1.78 2.134 1.649 1.859
"145" 1.882 1.981 1.753 1.894
"146" 1.9 1.595 1.802 2.008
"147" 1.883 1.836 1.848 1.914
"148" 1.797 1.906 2.002 2.154
"149" 2.02 1.936 1.895 NA
"150" 1.779 1.914 2.057 2.003
"151" 1.794 1.913 1.837 1.923
"152" 1.902 1.65 2.092 1.909
"153" 2.07 1.922 2.099 1.915
"154" 1.745 2.037 2.201 2.054
"155" 1.754 1.752 1.81 1.893
"156" 1.848 1.785 2.231 2.308
"157" 1.836 1.798 1.881 1.884
"158" 2.271 1.804 1.906 2.011
"159" 1.633 1.84 2.093 1.877
"160" 1.616 2.184 1.776 1.791
"161" 1.652 2.057 1.908 1.979
"162" 1.881 2.062 1.981 1.736
"163" 1.752 2.088 1.927 2.274
"164" 1.86 2.066 1.812 1.822
"165" 1.753 1.988 1.961 2.028
