"Vce" "Vcb" "Ic" "P" "Mota"
"1" 61.61 57.69 13.4 108.59 "NPN"
"2" 55.25 63 14.2 111.13 "PNP"
"3" 58.55 69.72 14.54 96.19 "PNP"
"4" 63.48 60.47 14.6 110.37 "PNP"
"5" 44.31 70.96 17.76 127.44 "PNP"
"6" 61.97 63.56 16.59 109.82 "NPN"
"7" 65.53 78.34 16.41 104.68 "NPN"
"8" 53.96 65.66 19.49 108.29 "NPN"
"9" 63.32 73.28 17.22 114.32 "PNP"
"10" 63.43 60.64 15.92 111.94 "PNP"
"11" 58.63 69.74 15.14 104.22 "NPN"
"12" 67.59 71.17 18.9 100.66 "PNP"
"13" 67.34 73.99 14.2 120.17 "PNP"
"14" 50.15 65.1 14.57 112.48 "PNP"
"15" 58.7 68.72 13.06 122.68 "PNP"
"16" 63.13 70.63 11.66 113.19 "PNP"
"17" 56.29 59.01 14.77 107.4 "NPN"
"18" 49.36 72.18 15.31 118.11 "NPN"
"19" 62.32 67.08 17.2 122.45 "PNP"
"20" 58.42 77.71 13.62 126.76 "NPN"
"21" 56.59 71.82 15 117.53 "PNP"
"22" 67.64 58.06 14.95 110.95 "PNP"
"23" 61.55 67.8 20.56 109.2 "NPN"
"24" 60.16 50.47 16.61 131.62 "PNP"
"25" 54.16 74.73 16.41 115.48 "NPN"
"26" 59.2 80.76 16.16 110.29 "PNP"
"27" 68.21 76.16 18.26 117.21 "NPN"
"28" 61.82 66.96 12.73 109.85 "PNP"
"29" 55.03 67.76 15.08 106.04 "PNP"
"30" 68.63 47.97 12.23 103.56 "NPN"
"31" 63.37 63.5 14.99 121.19 "NPN"
"32" 58.59 74.45 16.51 108.5 "PNP"
"33" 58.29 79.76 15.28 125.73 "NPN"
"34" 64.9 79.05 15.95 125.4 "NPN"
"35" 62.15 68.77 16.96 124.12 "NPN"
"36" 53.42 70.69 15.36 110.48 "PNP"
"37" 61.03 65.74 16.12 113.82 "PNP"
"38" 66.19 74.71 17.06 113.26 "PNP"
"39" 60.21 71.74 15.49 102.38 "NPN"
"40" 61.28 77.89 15.78 104.25 "NPN"
"41" 54.73 83.85 15.49 126.97 "NPN"
"42" 64.71 83.01 14.75 128.77 "NPN"
"43" 54.1 67.72 16.15 116.85 "NPN"
"44" 60.16 62.08 17.05 98.6 "NPN"
"45" 59.75 70.09 15.89 118.39 "NPN"
"46" 69.91 56.98 14.75 110.71 "NPN"
"47" 56.17 69.43 15.13 111.26 "NPN"
"48" 69.12 69.39 12.09 110.37 "PNP"
"49" 66.89 66.37 17.68 107.29 "NPN"
"50" 66.11 75.48 16.73 115.72 "NPN"
"51" 57.44 69.36 15.31 112.84 "PNP"
"52" 62.93 70.93 13.65 107.07 "NPN"
"53" 55.23 66.86 15.57 113.55 "NPN"
"54" 57.92 68.23 13.1 116.44 "NPN"
"55" 63.46 69.66 13.78 109.61 "PNP"
"56" 60.93 67.07 14.6 117.46 "NPN"
"57" 62.57 76.9 13.29 111.7 "NPN"
"58" 62.36 72.11 15.23 109.05 "NPN"
"59" 63.78 63.94 14.44 115.14 "NPN"
"60" 56.65 74.33 15.89 97.33 "NPN"
"61" 59.94 69.61 15.14 115.84 "PNP"
"62" 66.87 71.16 16.29 112.24 "PNP"
"63" 61.24 72.73 14.89 128.45 "PNP"
"64" 61.84 68.26 13.93 117.01 "PNP"
"65" 60.74 62.78 16.06 117.74 "PNP"
"66" 56.45 70.66 14.22 131.99 "NPN"
"67" 68.96 77.23 15.27 118.15 "PNP"
"68" 58.6 64.5 14.67 125.37 "NPN"
"69" 60.44 78.94 13.84 120.54 "PNP"
"70" 60.06 77.91 15.73 123.66 "PNP"
"71" 58.21 64.1 15.6 115.62 "NPN"
"72" 64.91 68.76 17.09 112.12 "NPN"
"73" 60.21 69.81 15.05 109.81 "PNP"
"74" 62.84 71.75 15.73 124.43 "NPN"
"75" 58.37 76.23 13.77 113.53 "NPN"
"76" 51 78.84 16.48 108.87 "PNP"
"77" 57.56 70.45 17.02 122.87 "PNP"
"78" 57.16 82.07 15.79 126.91 "NPN"
"79" 56.88 78.64 15.94 127.78 "NPN"
"80" 62.81 67.43 13.13 97.74 "NPN"
"81" 61.52 81.13 16.91 118.04 "NPN"
"82" 57.75 70.7 15.49 120.93 "PNP"
"83" 57.51 68.06 14.16 121.62 "PNP"
"84" 63.71 59.87 18.24 120.92 "NPN"
"85" 58.4 66.9 13.34 119.86 "NPN"
"86" 64.17 67.59 13.99 119.98 "PNP"
"87" 58.26 64.11 17.01 111.18 "PNP"
"88" 61.52 78.82 10.46 123.34 "NPN"
"89" 66.04 60.86 15.22 113.25 "PNP"
"90" 52.48 63.43 12.95 114.03 "NPN"
"91" 52.21 74.77 15.67 114.43 "PNP"
"92" 63.74 69.98 14.55 118.49 "PNP"
"93" 60.51 68.87 12.75 119.52 "NPN"
"94" 60.04 76.8 14.4 117.09 "PNP"
"95" 65.16 79.06 15.22 114 "NPN"
"96" 55.74 62.45 15.19 115.02 "PNP"
"97" 62.04 75.66 16.06 123.51 "PNP"
"98" 61.39 70.88 13.64 125.62 "PNP"
"99" 53.02 72.46 15.38 133.55 "NPN"
"100" 61.79 73.53 14.68 116.29 "NPN"
"101" 71.82 58.74 11.74 117.86 "NPN"
"102" 61.61 64.65 12.5 125 "PNP"
"103" 58.22 68.77 16.05 116.05 "NPN"
"104" 55.05 66.96 16.26 128.93 "NPN"
"105" 69.51 64.55 15.16 104.57 "PNP"
"106" 58.75 79.17 14.74 114.05 "PNP"
"107" 59.06 73.28 15.01 97.85 "PNP"
"108" 59.44 80.66 15.22 99.61 "NPN"
"109" 64.48 74.8 16.33 107.52 "PNP"
"110" 57.13 60.69 12.99 121.31 "NPN"
"111" 65.28 71.98 14.31 117.52 "PNP"
"112" 62.86 62.82 15.89 110.62 "NPN"
"113" 61.12 72.43 13.9 119.31 "PNP"
"114" 68.26 61.42 14.07 102.63 "NPN"
"115" 61.52 61.42 13.84 112.3 "PNP"
